Taxa	K00001	K00007	K00020	K00033	K00035	K00036	K00042	K00045	K00053	K00054
s__Coprococcus_catus	0	0	0	0	0	0	1	0	1	1
s__Moraxella_catarrhalis	0	0	0	0	0	0	0	0	1	0
s__Parabacteroides_distasonis	0	0	0	1	0	1	0	0	1	0
s__Prevotella_veroralis	0	0	0	0	0	0	0	0	0	0
s__Prevotella_copri	0	0	0	0	0	0	0	0	1	0
s__Atopobium_rimae	0	0	1	1	0	0	0	0	0	0
s__Prevotella_buccalis	0	0	0	0	0	0	0	0	0	0
s__Micrococcus_luteus	0.666	0	2	1	0	1.666	0	0	1	0
s__Actinobacillus_succinogenes	0	0	1	1	0	1	1	0	1	0
s__Lactobacillus_plantarum	2	0	1	2	0	1	0	0	0	1
s__Atopobium_parvulum	0	0	1	0	0	0	0	0	0	0
s__Bulleidia_extructa	0	0	0	0	0	0	0	0	0	0
s__Pseudoramibacter_alactolyticus	1	0	0	0	0	0	2	0	1	0
s__Gardnerella_vaginalis	0	0	0	1.2	0	1	0	0	0	1
s__Bacteroides_xylanisolvens	0	0	0	1	0	1	0	1	1	0
s__Staphylococcus_epidermidis	3.571	0	0	1	0	1	0	0	1	1
s__Collinsella_intestinalis	0	0	1	0	0	0	0	0	0	0
s__Staphylococcus_hominis	3	0	0	2	0	2	0	0	1	1
s__Streptococcus_gordonii	1	0	0	1	0	1	0	0	1	1
s__Propionibacterium_acnes	0	0	0	1	0	1	0	0	1	0
s__Herbaspirillum_seropedicae	1	1	3	0	1	1	0	0	2	1
s__Methanobrevibacter_unclassified	0	0	0	0	0	0	0	0	1	0
s__Mycobacterium_unclassified	2.5	0	1.172	1.896	0	2.034	0.0862	0.206	0.965	0
s__Bacteroides_uniformis	0	0	0	1	0	1	0	0	1	0
s__Bifidobacterium_unclassified	0.906	0	0	1.25	0	0.937	0	0	1.75	0
s__Fusobacterium_gonidiaformans	0	0	0	0	0	0	0	0	0	0
s__Bacteroides_pectinophilus	0	0	0	0	0	0	0	0	1	0
s__Desulfovibrio_piger	0	0	1	0	0	0	0	0	1	0
s__Streptococcus_pneumoniae	1.952	0	0	0.976	0	0.976	0	0	0.976	0.976
s__Clostridium_scindens	0	0	0	1	0	0	2	0	1	0
s__Clostridium_perfringens	0	0	0.333	0	0	0	0.555	0	0	0
s__Ruminococcus_obeum	0	0	0	0	0	0	0	0	1	0
s__Prevotella_bergensis	0	0	0	1	0	1	0	1	1	0
s__Haemophilus_parainfluenzae	0	0	0	1	0	1	0	0	1	0
s__Listeria_monocytogenes	0	0	0.592	0.555	0	0.629	0	0	0.666	0.703
s__Eubacterium_hallii	1	0	0	0	0	0	0	0	1	0
s__Faecalibacterium_cf	0	0	0	0	0	0	0	0	1	0
s__Neisseria_meningitidis	0.375	0	1	1	0	1	0	0	1	0
s__Blautia_unclassified	2	0	0	0.5	0	0	0	0	1	0
s__Prochlorococcus_marinus	0	0	0.461	1	0	1	0	0	1	0
s__Veillonella_unclassified	0	0	0	0	0	0	0	0	1	0
s__Ruminococcus_gnavus	0	0	0	0	0	0	1	0	1	0
s__Lactobacillus_crispatus	1.666	0	0	1	0	1	0	0	0	0.833
s__Methanobrevibacter_smithii	0	0	0	0	0	0	0	0	1	0
s__Prevotella_melaninogenica	0	0	0	0	0	0	0	0	0	0
s__Bifidobacterium_breve	1	0	0	1	0	1	0	0	2	0
s__Streptococcus_oralis	1	0	0	1	0	1	0	0	1	0.5
s__Enterococcus_faecium	0	0	1	1.666	0	1	0.148	0	0	1
s__Pasteurella_unclassified	0	0	0.5	1	0	1	0	0	1	0
s__Pyramidobacter_piscolens	1	0	1	0	0	0	0	0	0	0
s__Gemella_unclassified	0	0	1	1	0	1	0	0	0	1
s__Alkaliphilus_unclassified	0.5	0	0	0.5	0	0.5	0.5	0	0.5	0
s__Lactobacillus_acidophilus	1	0	0	1	0	1	0	0	0	1
s__Lactobacillus_brevis	1.5	0	1	2	0	1	0	0	0.5	1
s__Mycobacterium_abscessus	2	0	3	2	0	1	0	0	1	0
s__Bacteroides_unclassified	0.416	0	0	0.895	0	0.895	0	0.25	1	0
s__Methylobacterium_radiotolerans	1	0	6	1	1	2	2	0	1	0
s__Pantoea_ananatis	1	1	1	2	0	2	1	0	1	0
s__Bifidobacterium_catenulatum	1	0	0	2	0	1	0	0	2	0
s__Acinetobacter_unclassified	1.777	0	1.629	0	0	0	0.592	0	1	0
s__Veillonella_parvula	0	0	0	0	0	0	0	0	1	0
s__Actinomyces_urogenitalis	1	0	1	1	0	1	0	1	1	0
s__Pseudomonas_putida	0.2	0	1.8	1	0	3	1.2	0.2	1	0.2
s__Campylobacter_gracilis	0	0	0	0	0	0	0	0	1	0
s__Rothia_mucilaginosa	0	0	0	1	0	1	0	0	1	0
s__Eubacterium_limosum	0	0	0	0	0	0	2	0	1	0
s__Streptococcus_cristatus	1	0	0	1	0	1	0	0	1	1
s__Corynebacterium_aurimucosum	1	0	1	1	0	1	0	0	1	0
s__Rhodopseudomonas_palustris	3.714	0	2.857	1	0	1	0	0	1	0
s__Clostridium_asparagiforme	0	0	0	1	0	1	2	0	1	0
s__Fusobacterium_varium	1	0	0	0	0	0	0	0	0	0
s__Selenomonas_artemidis	0	0	0	1	0	0	1	0	1	0
s__Neisseria_lactamica	1	0	1	1	0	1	0	0	1	0
s__Streptococcus_salivarius	1	0	0	0	0	0	0	0	1	1
s__Capnocytophaga_gingivalis	0	0	0	0	0	0	0	0	0	1
s__Haemophilus_unclassified	0	0	0	0.958	0	1	0	0	0.958	0
s__Klebsiella_unclassified	1.166	1	1	1	0	1	1.166	0	1	0
s__Burkholderia_cenocepacia	2	1	5.6	1	0	2	1.6	0.8	1	0.8
s__Treponema_phagedenis	0	0	1	1	0	0	0	0	0	0
s__Afipia_unclassified	3	0	1	1	0	1	1	0	1	0
s__Lactobacillus_casei	1.666	0	1	2.333	0	1	0	0	0	1
s__Megamonas_hypermegale	0	0	3	1	0	0	0	0	1	0
s__Campylobacter_curvus	0	0	0	0	0	0	0	0	1	0
s__Leptotrichia_goodfellowii	0	0	0	1	0	0	0	0	1	1
s__Rothia_unclassified	0	0	0	1	0	1	0	0	1	0
s__Bacteroides_thetaiotaomicron	0	0	0	1	0	1	0	0	1	0
s__Pediococcus_acidilactici	2.5	0	1	3	0	1	0	0	0	1
s__Cronobacter_unclassified	0.5	0	0	1	0	1	0	0	1	0
s__Neisseria_mucosa	1	0	0	1	0	1	0	0	1	0
s__Kingella_oralis	0	0	0	1	0	1	0	0	1	0
s__Staphylococcus_capitis	4	0	0	1	0	1	0	0	1	1
s__Enterococcus_gallinarum	0	0	1	2	0	1	0	0	1	1
s__Bacteroides_ovatus	0	0	0	1	0	1	0	1	1	0
s__Streptobacillus_moniliformis	0	0	0	0	0	0	0	0	0	1
s__Pseudoflavonifractor_capillosus	0	0	1	0	0	0	1	0	1	0
s__Eikenella_corrodens	1	0	0	1	0	1	0	0	1	0
s__Histophilus_somni	0	0	0	1	0	1	0	0	1	0
s__Lactobacillus_iners	0	0	0	1	0	1	0	0	0	1
s__Streptococcus_suis	0.888	0	0	1	0	0.888	0	0	1	1
s__Selenomonas_sputigena	0	0	1	0	0	0	0	0	1	0
s__Capnocytophaga_unclassified	0	0	0	0	0	0	0	0	0	1
s__Peptostreptococcus_stomatis	0	0	0	1	0	1	0	0	0	0
s__Staphylococcus_lugdunensis	3	0	0	1	0	1	0	0	1	1
s__Subdoligranulum_variabile	0	0	0	0	0	0	0	0	1	0
s__Lactococcus_lactis	1	0	0.8	2	0	1	0	0	1	1
s__Paracoccus_denitrificans	2	0	4	1	1	1	0	1	1	0
s__Veillonella_dispar	0	0	0	0	0	0	0	0	1	0
s__Porphyromonas_gingivalis	0	0	0	0	0	0	0	0	0	0
s__Anaerococcus_unclassified	0	0	0	0.2	0	0	0	0	0.2	0
s__Roseburia_intestinalis	0	0	0	0	0	0	0	0	1	0
s__Granulicatella_adiacens	0	0	1	1	0	1	0	0	0	1
s__Granulicatella_unclassified	0	0	1	1	0	1	0	0	0	1
s__Lactobacillus_ruminis	1	0	0	1	0	1	1	0	0	1
s__Xanthomonas_campestris	0.666	0	0.666	1	1	2	0	0	1	0
s__Mitsuokella_multacida	1	0	0	0	0	0	0	0	1	0
s__Fusobacterium_nucleatum	0	0	0	0	0	0	0	0	0.25	0
s__Lactobacillus_helveticus	0	0	0	1	0	1	0	0	0	1
s__Collinsella_aerofaciens	0	0	1	0	0	0	0	0	0	0
s__Leuconostoc_mesenteroides	0	0	1	1.5	0	1	0	0	1	1
s__Ureaplasma_unclassified	0	0	0	0	0	0	0	0	0	0
s__Brachyspira_unclassified	1	0	0.333	0	0	0	0	0	1	0
s__Streptococcus_agalactiae	1.125	0	0	0	0	0	0	0	0	0.875
s__Streptococcus_pyogenes	1.133	0	0	0	0	0	0	0	0	1
s__Lautropia_mirabilis	0	1	1	0	0	0	0	0	1	0
s__Lactobacillus_fermentum	0.75	0	1	1	0	1	0	0	0	1
s__Streptococcus_anginosus	0	0	0	1	0	1	0	0	0	1
s__Acinetobacter_johnsonii	4	0	3	0	0	0	0	0	1	0
s__Proteus_mirabilis	0	0	0	1	0	1	0	0	1	0
s__Psychrobacter_arcticus	3	0	1	0	0	0	0	0	1	0
s__Bacteroides_finegoldii	0	0	0	1	0	1	0	0	1	0
s__Acinetobacter_radioresistens	2	0	3	0	0	0	0	0	1	0
s__Blautia_hydrogenotrophica	4	0	0	1	0	0	0	0	1	0
s__Ruminococcus_bromii	0	0	0	0	0	0	0	0	1	0
s__Anaerococcus_vaginalis	0	0	0	1	0	0	0	0	0	0
s__Parascardovia_denticolens	0	0	0	1	0	1	0	0	0	1
s__Actinomyces_odontolyticus	0	0	0	1	0	1	0	0	1	0
s__Lactobacillus_oris	3	0	1	2	0	1	0	0	0	1
s__Cryptobacterium_curtum	0	0	0	0	0	0	0	0	1	0
s__Streptococcus_bovis	0	0	0	0	0	0	0	0	1	1
s__Ruminococcus_torques	0	0	0	0	0	0	2	0	1	0
s__Rothia_dentocariosa	0	0	0	1	0	1	0	0	1	0
s__Selenomonas_flueggei	0	0	0	0	0	0	1	0	1	0
s__Clostridium_methylpentosum	1	0	0	0	0	0	0	0	1	0
s__Bifidobacterium_animalis	1	0	0	1	0	1	0	0	1	0
s__Sutterella_wadsworthensis	1	0	1	0	0	0	0	0	0	0
s__Peptoniphilus_lacrimalis	0	0	0	0	0	0	0	0	0	0
s__Clostridium_hiranonis	0	0	0	0	0	0	0	0	1	0
s__Eubacterium_siraeum	0	0	0	0	0	0	0	0	1	0
s__Clostridium_bartlettii	0	0	0	0	0	0	0	0	1	0
s__Pediococcus_unclassified	2	0	1	2.666	0	1	0	0	0	1
s__Collinsella_unclassified	0	0	1	0	0	0	0	0	0	0
s__Treponema_vincentii	0	0	0	0	0	0	0	0	0	0
s__Streptococcus_dysgalactiae	0	0	0	0	0	0	0	0	0	1
s__Streptococcus_australis	2	0	0	1	0	1	0	0	1	1
s__Corynebacterium_amycolatum	0	0	0	1	0	1	0	0	1	0
s__Pasteurella_dagmatis	0	0	0	1	0	1	0	0	1	0
s__Lactobacillus_gasseri	0	0	0	0.8	0	1	0	0	0	1
s__Campylobacter_hominis	0	0	0	0	0	0	0	0	1	0
s__Corynebacterium_matruchotii	0	0	0	1	0	1	0	0	1	0
s__Alistipes_shahii	0	0	0	0	0	0	0	0	0	0
s__Jonquetella_anthropi	0	0	1	0	0	0	0	0	0	0
s__Eubacterium_saphenum	0	0	0	0	0	0	0	0	0	0
s__Bifidobacterium_longum	0.909	0	0	1	0	0.909	0	0	1.909	0
s__Roseburia_inulinivorans	0	0	0	0	0	0	0	0	1	0
s__Clostridium_cf	0.4	0	0.0875	0.2	0	0.1	0.45	0	0.75	0
s__Bacteroides_stercoris	0	0	0	1	0	1	0	0	1	0
s__Methylobacterium_unclassified	0.125	0	1.75	1.125	0.25	2.75	1.75	0	1	0
s__Neisseria_sicca	1	0	1	1	0	1	0	0	1	0
s__Simonsiella_muelleri	1	0	1	1	0	1	0	0	1	0
s__Leptotrichia_buccalis	0	0	1	0	0	0	0	0	1	1
s__Lactobacillus_paracasei	1.5	0	1	2.5	0	1	0	0	0	1
s__Bacteroides_caccae	0	0	0	1	0	1	0	0	1	0
s__Streptococcus_mutans	1	0	0	0	0	0	0	0	1	1
s__Neisseria_cinerea	1	0	1	1	0	1	0	0	1	0
s__Oxalobacter_formigenes	1.5	0	0	0	0	0	2	0	1	0
s__Coprobacillus_bacterium	0	0	0	0	0	0	0	0	1	0
s__Clostridium_hathewayi	0	0	0	1	0	1	1	0	1	0
s__Bacteroides_salanitronis	2	0	0	0	0	0	0	0	1	0
s__Roseiflexus_castenholzii	1	0	2	1	0	1	0	0	1	1
s__Anaerococcus_lactolyticus	0	0	0	0	0	0	0	0	0	0
s__Enterobacter_unclassified	0.8	0.2	0	1	0	1	1	0	1	0
s__Klebsiella_variicola	1	1	1	1	0	1	1	0	1	0
s__Mobiluncus_unclassified	0	0	0	0.75	0	0	0	0	1	0
s__Bacteroides_eggerthii	0	0	0	1	0	1	0	0	1	0
s__Marvinbryantia_formatexigens	1	0	0	0	0	0	0	0	1	0
s__Clostridium_difficile	1	0	0	0	0	0	1	0	0.928	0
s__Shuttleworthia_satelles	1	0	0	0	0	0	0	0	1	0
s__Sphingopyxis_alaskensis	0	0	2	1	1	1	0	0	1	0
s__Marinomonas_unclassified	2.5	1	3	1	0	1	0.5	0	1	0
s__Prevotella_disiens	0	0	0	0	0	0	0	0	0	0
s__Parabacteroides_merdae	0	0	0	1	0	1	0	0	1	0
s__Bacteroides_dorei	3	0	0	1	0	1	0	0	1	0
s__Streptococcus_mitis	1	0	0	1	0	1	0	0	0.833	1
s__Prevotella_multiformis	0	0	0	0	0	0	0	0	0	0
s__Klebsiella_pneumoniae	1.25	1	1	1	0	1	1.25	0	1	0
s__Lactobacillus_vaginalis	1	0	0	2	0	1	0	0	0	1
s__Prevotella_amnii	0	0	0	0	0	0	0	0	0	0
s__Neisseria_subflava	1	0	0	1	0	1	0	0	1	0
s__Shigella_sonnei	0	0	0	1	0	1	1	0	1	0
s__Clostridium_hylemonae	1	0	0	1	0	1	2	0	1	0
s__Streptococcus_vestibularis	0.5	0	0	0	0	0	0	0	1	1
s__Ureaplasma_parvum	0	0	0	0	0	0	0	0	0	0
s__Dorea_unclassified	0	0	0	0	0	0	1.5	0	1	0
s__Citrobacter_unclassified	0.5	0.25	0	1	0	1	1	0	1	0
s__Escherichia_coli	0	0.0594	0.0693	0.960	0	0.970	1.673	0	0.990	0
s__Bacteroides_coprocola	1	0	0	0	0	0	0	0	1	0
s__Capnocytophaga_ochracea	0	0	0	0	0	0	0	0	0	1
s__Prevotella_timonensis	0	0	0	0	0	0	0	0	0	0
s__Lactobacillus_rhamnosus	0	0	1	2	0	1	0	0	0	1
s__Dialister_microaerophilus	0	0	0	1	0	0	0	0	0	0
s__Porphyromonas_asaccharolytica	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_oris	0	0	0	1	0	1	0	1	1	0
s__Leuconostoc_citreum	0	0	1	2	0	1	0	0	0	1
s__Peptoniphilus_duerdenii	0	0	0	0	0	0	0	0	0	0
s__Prevotella_oris	0	0	0	0	0	0	0	0	1	0
s__Haemophilus_influenzae	0	0	0	0.95	0	1	0	0	1	0
s__Bacteroides_vulgatus	1	0	0	1	0	1	0	0	1	0
s__Kocuria_rhizophila	2	0	2	1	0	2	1	0	1	0
s__Bifidobacterium_bifidum	1	0	0	1	0	1	0	0	2	0
s__Fusobacterium_mortiferum	0	0	0	0	0	0	0	0	1	0
s__Clostridium_saccharolyticum	0	0	0	0	0	0	0.5	0	1	0
s__Campylobacter_showae	0	0	0	0	0	0	0	0	1	0
s__Prevotella_oralis	0	0	0	0	0	0	0	0	1	0
s__Gordonibacter_pamelaeae	0	0	0	0	0	0	0	0	0	0
s__Propionibacterium_freudenreichii	0	0	1	2	0	1	0	0	1	0
s__Anaerofustis_stercorihominis	2	0	0	0	0	0	0	0	1	0
s__Actinobacillus_unclassified	0	0	0.947	0.947	0	0.947	0.0526	0	0.947	0
s__Lactobacillus_reuteri	0.857	0	0	0.857	0	0.857	0	0	0	0.857
s__Treponema_denticola	0	0	1	0	0	0	0	0	0	0
s__Prevotella_salivae	0	0	0	0	0	0	0	0	1	0
s__Shigella_dysenteriae	0	0	0	1	0	0.666	0.666	0	1	0
s__Neisseria_unclassified	0.837	0	0.729	1	0	1	0	0	1	0
s__Slackia_exigua	0	0	0	0	0	0	0	0	1	0
s__Peptostreptococcus_anaerobius	1	0	0	1	0	1	0	0	0	0
s__Psychrobacter_cryohalolentis	2	0	1	0	0	0	0	0	1	0
s__Kingella_denitrificans	1	0	0	1	0	1	0	0	1	0
s__Campylobacter_rectus	0	0	0	0	0	0	0	0	1	0
s__Peptoniphilus_harei	0	0	0	0	0	0	0	0	0	0
s__Deinococcus_radiodurans	0	0	1	1	0	1	0	0	1	0
s__Brucella_ceti	3	0	2	1	1	1	0	0	1	0
s__Gemella_haemolysans	0	0	1	1	0	1	0	0	0	1
s__Pseudomonas_aeruginosa	0	0	3.666	0	0	2	1	1	1	0
s__Megasphaera_micronuciformis	0	0	0	1	0	0	0	0	1	0
s__Anaerococcus_hydrogenalis	0	0	0	0	0	0	0	0	0	0
s__Enterobacter_cancerogenus	1	0	0	1	0	1	1	0	1	0
s__Dorea_formicigenerans	0	0	0	0	0	0	1	0	1	0
s__Mannheimia_haemolytica	0	0	1	1	0	1	0	0	1	0
s__Staphylococcus_aureus	0.478	0	0	1.028	0	1.028	0	0	1	0.985
s__Escherichia_unclassified	0	0.0660	0.0754	0.952	0	0.962	1.641	0	0.990	0
s__Acidovorax_unclassified	0.25	0	2	0	0	1	0.25	0	1	0.25
s__Streptococcus_parasanguinis	1.666	0	0	1	0	1	0	0	1	1
s__Coprococcus_comes	0	0	0	0	0	0	0	0	1	0
s__Dialister_invisus	0	0	0	1	0	0	0	0	0	0
s__Shigella_boydii	0	0	0	1	0	1	1	0	1	0
s__Anaerotruncus_colihominis	1	0	1	0	0	0	0	0	0	0
s__Anaerostipes_caccae	0	0	0	0	0	0	1	0	1	0
s__Corynebacterium_jeikeium	0	0	0	1	0	1	0	0	1	0
s__Cellulophaga_unclassified	0	0	0	0.5	0	0.5	0	1.5	1	1
s__Roseburia_unclassified	0	0	0	0	0	0	0	0	1	0
s__Finegoldia_magna	0	0	0	0	0	0	0	0	0	0
s__Catenibacterium_mitsuokai	0	0	0	0	0	0	1	0	1	0
s__Catonella_morbi	0	0	0	0	0	0	1	0	1	0
s__Granulicella_unclassified	0.5	0	0	2	0	2	0	0	1	0
s__Neisseria_flavescens	1	0	0	1	0	1	0	0	1	0
s__Kingella_unclassified	0.5	0	0	1	0	1	0	0	1	0
s__Coprococcus_eutactus	0	0	0	0	0	0	0	0	1	0
s__Eubacterium_ventriosum	1	0	0	0	0	0	0	0	1	0
s__Rhodobacter_sphaeroides	1.25	0	2.75	0	0	1	0	1	1	0
s__Actinomyces_viscosus	0	0	1	1	0	1	0	1	1	0
s__Prevotella_marshii	0	0	0	0	0	0	0	0	0	0
s__Faecalibacterium_unclassified	0	0	0	0	0	0	0	0	1	0
s__Acinetobacter_junii	2	0	1	0	0	0	0	0	1	0
s__Corynebacterium_accolens	0	0	0	1	0	1	0	0	1	0
s__Burkholderia_unclassified	0.869	0.942	3.130	1.014	0	1.521	1.797	0.0579	1.492	0.0724
s__Parvimonas_micros	0	0	0	0	0	0	0	0	0	0
s__Clostridium_symbiosum	0	0	1	2	0	1	0	0	1	0
s__Mycoplasma_hominis	0	0	0	0	0	0	0	0	0	0
s__Collinsella_stercoris	0	0	1	0	0	0	0	0	0	0
s__Victivallis_vadensis	1	0	0	1	0	1	0	1	1	0
s__Clostridium_nexile	0	0	0	0	0	0	0	0	1	0
s__Escherichia_fergusonii	0	1	0	1	0	1	1	0	1	0
s__Psychrobacter_unclassified	2	0	1.333	0	0	0	0	0	1	0
s__Bacteroides_coprophilus	1	0	0	0	0	0	0	0	1	0
s__Eubacterium_rectale	0	0	0.666	0	0	0	0	0	1	0
s__Fusobacterium_periodonticum	0	0	0	0	0	0	0	0	1	0
s__Propionibacterium_unclassified	0	0	0.166	1.166	0	1	0	0	1	0
s__Enterobacter_cloacae	0.666	0.333	0	1	0	1	1	0	1	0
s__Staphylococcus_saprophyticus	3	0	0	1	0	1	0	0	1	1
s__Bacteroides_helcogenes	1	0	0	1	0	1	0	0	1	0
s__Blautia_hansenii	0	0	0	0	0	0	0	0	1	0
s__Streptococcus_thermophilus	1.5	0	0	0	0	0	0	0	1	1
s__Desulfovibrio_desulfuricans	2	0	0	0.5	0	0.5	0	0	1	0
s__Streptococcus_peroris	1	0	0	1	0	1	0	0	1	1
s__Selenomonas_unclassified	0	0	0.166	0.666	0	0	0.833	0	1	0
s__Acidaminococcus_fermentans	1	0	0	0	0	0	1	0	1	0
s__Anaerococcus_tetradius	0	0	0	0	0	0	0	0	1	0
s__Pasteurella_multocida	0	0	1	1	0	1	0	0	1	0
s__Clostridium_leptum	2	0	0	0	0	0	0	0	1	0
s__Holdemania_filiformis	0	0	0	0	0	0	2	0	0	0
